date,Layoffs Rate,Quits Rate,state_abb,fips_code,region,date_period_text,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,viz_type_text
2025-05-01,1.0333333333333334,2.4,SC,45,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,South Carolina,Scatter
2025-05-01,1.0333333333333334,2.1,TN,47,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Tennessee,Scatter
2025-05-01,1.0333333333333334,1.7333333333333334,WA,53,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Washington,Scatter
2025-05-01,1,2.2666666666666666,DE,10,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Delaware,Scatter
2025-05-01,1,2.066666666666667,IL,17,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Illinois,Scatter
2025-05-01,1,1.6000000000000003,MA,25,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Massachusetts,Scatter
2025-05-01,1,2.266666666666667,OR,41,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Oregon,Scatter
2025-05-01,0.9666666666666668,2.066666666666667,AL,01,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Alabama,Scatter
2025-05-01,0.9666666666666668,2.1999999999999997,MI,26,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Michigan,Scatter
2025-05-01,0.9666666666666668,2.1666666666666665,TX,48,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Texas,Scatter
2025-05-01,0.9666666666666667,1.7333333333333334,MD,24,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Maryland,Scatter
2025-05-01,0.9333333333333332,2.3000000000000003,OK,40,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Oklahoma,Scatter
2025-05-01,0.9333333333333332,2,WI,55,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Wisconsin,Scatter
2025-05-01,0.9,1.8,NY,36,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New York,Scatter
2025-05-01,0.8333333333333334,2.066666666666667,MO,29,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Missouri,Scatter
2025-05-01,0.7999999999999999,1.5999999999999999,DC,11,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,District of Columbia,Scatter
2025-05-01,0.7999999999999999,1.8333333333333333,MN,27,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Minnesota,Scatter
2025-05-01,0.7999999999999999,1.6666666666666667,PA,42,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Pennsylvania,Scatter
