date,Layoffs Rate,Quits Rate,state_abb,fips_code,region,date_period_text,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,viz_type_text
2025-04-01,1.1333333333333335,2.1999999999999997,AZ,04,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Arizona,Scatter
2025-04-01,1.1333333333333335,2,NM,35,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New Mexico,Scatter
2025-04-01,1.0999999999999999,2.066666666666667,MI,26,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Michigan,Scatter
2025-04-01,1.0666666666666667,1.9000000000000001,HI,15,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Hawaii,Scatter
2025-04-01,1.0666666666666667,1.8666666666666665,MD,24,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Maryland,Scatter
2025-04-01,1.0666666666666667,2.2333333333333334,TX,48,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Texas,Scatter
2025-04-01,1.0333333333333334,1.9666666666666668,CA,06,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,California,Scatter
2025-04-01,1.0333333333333334,2.1999999999999997,MS,28,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Mississippi,Scatter
2025-04-01,1.0333333333333334,1.9000000000000001,NC,37,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,North Carolina,Scatter
2025-04-01,1.0333333333333334,2.2666666666666666,OH,39,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Ohio,Scatter
2025-04-01,1.0333333333333334,2.2666666666666666,OR,41,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Oregon,Scatter
2025-04-01,1.0333333333333334,1.6333333333333335,WA,53,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Washington,Scatter
2025-04-01,1,2.1333333333333333,AL,01,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Alabama,Scatter
2025-04-01,1,2.066666666666667,DE,10,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Delaware,Scatter
2025-04-01,1,2.1,IL,17,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Illinois,Scatter
2025-04-01,1,2.033333333333333,IA,19,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Iowa,Scatter
2025-04-01,1,2.3666666666666667,SC,45,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,South Carolina,Scatter
2025-04-01,0.9666666666666668,2.1666666666666665,KS,20,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Kansas,Scatter
2025-04-01,0.9666666666666668,2.266666666666667,OK,40,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Oklahoma,Scatter
2025-04-01,0.9,2.066666666666667,NE,31,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Nebraska,Scatter
2025-04-01,0.9,1.9000000000000001,WI,55,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Wisconsin,Scatter
2025-04-01,0.8666666666666667,1.7,DC,11,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,District of Columbia,Scatter
2025-04-01,0.8666666666666667,1.6666666666666667,NY,36,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New York,Scatter
2025-04-01,0.8333333333333334,1.9000000000000001,MN,27,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Minnesota,Scatter
2025-04-01,0.8333333333333334,2.033333333333333,MO,29,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Missouri,Scatter
2025-04-01,0.7999999999999999,1.5333333333333332,PA,42,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Pennsylvania,Scatter
